"CENTROID_LAT","CENTROID_LONG","SECTION","SECTION_NAME","CUM_SPAWN_IND","RANK","REGION"
49.6287,"-126.605","252","NOOTKA SOUND",7095562,23,"WEST COAST VANCOUVER IS"
51.6781,"-127.335","093","RIVERS INLET HEAD",7041039,24,"CENTRAL COAST"
49.4374,"-126.451","242","HESQUIAT HARBOUR",6439815,26,"WEST COAST VANCOUVER IS"
48.8384,"-123.442","181","SWANSON CHANNEL",6397987,27,"STRAIT OF GEORGIA"
51.8516,"-128.183","076","KILDIDT SOUND",5644128,28,"CENTRAL COAST"
52.5215,"-128.107","078","DON PENINSULA",5412122,29,"CENTRAL COAST"
50.9769,"-125.575","127","KNIGHT INLET",5344183,30,"JOHNSTONE STRAIT"
50.9708,"-126.484","126","KINGCOME INLET",5243881,31,"JOHNSTONE STRAIT"
50.2534,"-127.753","272","BROOKS BAY",4784966,32,"WEST COAST VANCOUVER IS"
53.0394,"-131.883","023","CUMSHEWA INLET",4329076,33,"HAIDA GWAII"
49.3016,"-126.015","244","MILLER CHANNEL",4244039,34,"WEST COAST VANCOUVER IS"
53.6822,"-132.934","002","PORT LOUIS",4168475,35,"HAIDA GWAII"
52.1991,"-128.042","073","BELLA BELLA",4088601,36,"CENTRAL COAST"
49.3829,"-126.237","243","SYDNEY INLET",4027981,37,"WEST COAST VANCOUVER IS"
54.0043,"-132.625","012","NADEN HARBOUR",3640806,38,"HAIDA GWAII"
51.2954,"-127.587","102","TAKUSH HARBOUR",3623497,39,"CENTRAL COAST"
49.5298,"-123.776","165","SECHELT INLET",3445510,40,"STRAIT OF GEORGIA"
50.7697,"-126.309","125","GILFORD ISLAND",3384324,41,"JOHNSTONE STRAIT"
50.5801,"-126.454","123","WEST CRACROFT ISLAND",3316490,42,"JOHNSTONE STRAIT"
52.2055,"-131.256","006","LOUSCOONE INLET",3304402,43,"HAIDA GWAII"
52.4795,"-128.668","077","MILBANKE SOUND",3293800,44,"CENTRAL COAST"
51.4218,"-127.598","092","RIVERS INLET MOUTH",3185500,45,"CENTRAL COAST"
53.2402,"-132.004","022","SKIDEGATE INLET",2860862,46,"HAIDA GWAII"
52.1376,"-127.576","084","BURKE CHANNEL",2860737,47,"CENTRAL COAST"
48.6144,"-123.488","191","SAANICH INLET",2638584,48,"STRAIT OF GEORGIA"
50.867,"-124.880","134","BUTE INLET",2252420,49,"JOHNSTONE STRAIT"
50.714,"-127.425","122","BEAVER HARBOUR",2231447,50,"JOHNSTONE STRAIT"
50.0816,"-125.184","135","CAPE MUDGE",2132293,51,"JOHNSTONE STRAIT"
50.0195,"-127.370","262","CLANNINICK COVE",2068556,52,"WEST COAST VANCOUVER IS"
53.0068,"-132.223","005","ENGLEFIELD BAY",1979712,53,"HAIDA GWAII"
53.3986,"-132.548","003","RENNELL SOUND",1881912,54,"HAIDA GWAII"
50.9275,"-126.833","124","WELLS PASSAGE",1801296,55,"JOHNSTONE STRAIT"
50.2191,"-125.318","132","DEEPWATER BAY",1708878,56,"JOHNSTONE STRAIT"
52.9163,"-129.070","066","SURF INLET",1623017,57,"CENTRAL COAST"
52.2833,"-126.819","083","BENTINCK ARMS",1597055,58,"CENTRAL COAST"
51.9362,"-128.221","075","MCNAUGHTON GROUP",1430966,59,"CENTRAL COAST"
51.8345,"-127.949","086","FITZHUGH SOUND",1421558,60,"CENTRAL COAST"
49.6129,"-124.038","163","MALASPINA STRAIT",1409107,61,"STRAIT OF GEORGIA"
48.8468,"-125.125","231","TREVOR CHANNEL",1303839,62,"WEST COAST VANCOUVER IS"
53.6362,"-132.571","011","OTHER AREA 1",1245654,63,"HAIDA GWAII"
48.9905,"-125.074","233","IMPERIAL EAGLE CH.",945748,64,"WEST COAST VANCOUVER IS"
50.092,"-123.765","164","JERVIS INLET",929663,65,"STRAIT OF GEORGIA"
52.8281,"-127.014","082","DEAN CHANNEL",920146,66,"CENTRAL COAST"
48.8057,"-123.206","182","PLUMPER SOUND",883956,67,"STRAIT OF GEORGIA"
53.5636,"-129.913","053","PRINCIPIE CHANNEL",876678,68,"PRINCE RUPERT DISTRICT"
50.134,"-127.510","263","CHECLESET BAY",802898,69,"WEST COAST VANCOUVER IS"
53.9458,"-128.632","063","KITIMAT ARM",769159,70,"CENTRAL COAST"
53.4096,"-129.177","062","GIL ISLAND",598959,71,"CENTRAL COAST"
49.7485,"-124.176","162","HOTHAM SOUND",497888,72,"STRAIT OF GEORGIA"
51.091,"-127.144","112","SEYMOUR INLET",493530,73,"JOHNSTONE STRAIT"
49.5903,"-123.250","280","HOWE SOUND",480249,74,"STRAIT OF GEORGIA"
50.0175,"-127.112","261","OTHER AREA 26",431405,76,"WEST COAST VANCOUVER IS"
51.6377,"-127.780","091","FISH EGG INLET",401291,77,"CENTRAL COAST"
53.4868,"-130.405","051","OTHER AREA 5",324956,78,"PRINCE RUPERT DISTRICT"
52.7706,"-131.987","001","TASU SOUND",267112,79,"HAIDA GWAII"
50.7052,"-125.455","133","LOUGHBOROUGH INLET",251807,80,"JOHNSTONE STRAIT"
53.3724,"-128.069","064","GARDNER CANAL",244459,81,"CENTRAL COAST"
51.3561,"-127.145","103","SMITH INLET",237555,82,"CENTRAL COAST"
48.4382,"-123.428","193","VICTORIA HARBOUR",189931,83,"STRAIT OF GEORGIA"
53.1459,"-132.385","004","CARTWRIGHT SOUND",172856,84,"HAIDA GWAII"
50.1578,"-124.980","136","REED ISLAND",151741,85,"JOHNSTONE STRAIT"
49.2167,"-125.788","241","TOFINO INLET",151485,86,"WEST COAST VANCOUVER IS"
50.597,"-127.706","274","HOLBERG INLET",149905,87,"WEST COAST VANCOUVER IS"
50.1333,"-124.917","151","REDONDA ISLANDS",122882,88,"STRAIT OF GEORGIA"
55.2927,"-129.907","032","PORTLAND INLET",107194,89,"PRINCE RUPERT DISTRICT"
52.69,"-129.220","061","CAAMANO SOUND",61601,90,"CENTRAL COAST"
54.4,"-130.725","041","AREA 4 WEST",54816,91,"PRINCE RUPERT DISTRICT"
53.1278,"-128.489","065","PRINCESS ROYAL CH.",35934,92,"CENTRAL COAST"
49.8333,"-126.650","251","OTHER AREA 25",27923,93,"WEST COAST VANCOUVER IS"
50.9625,"-127.425","121","QUEEN CHARLOTTE ST.",27077,94,"JOHNSTONE STRAIT"
49,"-123.100","291","OTHER AREA 29",21405,95,"STRAIT OF GEORGIA"
51.1,"-127.588","111","BELIZE INLET",20172,96,"JOHNSTONE STRAIT"
50.5,"-127.833","271","OTHER AREA 27",7186,97,"WEST COAST VANCOUVER IS"
48.3625,"-123.650","202","SOOKE HARBOUR",6469,98,"STRAIT OF GEORGIA"
48.65,"-123.400","192","CORDOVA BAY",840,99,"STRAIT OF GEORGIA"
50.3,"-125.300","131","THURLOW ISLANDS",293,100,"JOHNSTONE STRAIT"
